timestamp,datetime,pm25,pm10,no2,co,o3,temp,humidity,wind_speed,aqi,target_aqi_6h,aqi_lag_1,aqi_lag_2
1767173714,2025-12-31 15:05:14,15.52,23.52,5.0,181.83,45.86,21.86,36.38,5.91,61,130.0,77.0,57.0
1767177314,2025-12-31 16:05:14,17.86,28.08,7.4,221.7,29.59,19.58,36.7,0.0,78,108.0,61.0,77.0
1767180914,2025-12-31 17:05:14,19.07,32.7,21.48,414.77,35.32,16.96,53.99,5.61,72,94.0,78.0,61.0
1767184514,2025-12-31 18:05:14,27.3,42.08,19.94,387.64,25.76,15.06,48.86,8.24,114,79.0,72.0,78.0
1767188114,2025-12-31 19:05:14,33.59,52.38,20.89,418.28,23.57,12.55,56.04,2.53,149,58.0,114.0,72.0
1767191714,2025-12-31 20:05:14,32.48,46.89,8.71,172.66,18.44,10.34,66.59,5.54,127,62.0,149.0,114.0
1767195314,2025-12-31 21:05:14,32.45,45.58,10.29,179.64,14.03,7.72,63.9,3.86,130,63.0,127.0,149.0
1767198914,2025-12-31 22:05:14,24.73,39.49,8.79,196.39,12.26,6.58,68.02,10.06,108,74.0,130.0,127.0
1767202514,2025-12-31 23:05:14,21.99,31.13,10.3,164.72,10.0,4.84,68.95,6.88,94,64.0,108.0,130.0
1767206114,2026-01-01 00:05:14,19.87,26.75,8.78,185.94,17.84,5.92,67.48,6.22,79,60.0,94.0,108.0
1767209714,2026-01-01 01:05:14,16.81,26.8,11.13,208.59,14.12,4.91,68.44,8.46,58,60.0,79.0,94.0
1767213314,2026-01-01 02:05:14,15.4,22.34,7.77,222.68,20.42,6.92,63.48,5.09,62,88.0,58.0,79.0
1767216914,2026-01-01 03:05:14,16.73,27.41,12.81,186.21,12.66,8.76,66.85,4.72,63,102.0,62.0,58.0
1767220514,2026-01-01 04:05:14,19.09,24.99,8.3,178.29,24.63,10.53,69.79,4.11,74,105.0,63.0,62.0
1767224114,2026-01-01 05:05:14,16.22,26.87,9.26,181.8,26.68,13.14,45.31,5.89,64,91.0,74.0,63.0
1767227714,2026-01-01 06:05:14,12.86,22.67,9.25,215.7,24.47,16.43,43.93,5.35,60,98.0,64.0,74.0
1767231314,2026-01-01 07:05:14,14.8,22.76,9.71,180.32,34.08,19.85,39.1,0.58,60,89.0,60.0,64.0
1767234914,2026-01-01 08:05:14,19.9,25.89,17.14,386.9,34.37,19.48,42.93,6.37,88,89.0,60.0,60.0
1767238514,2026-01-01 09:05:14,25.24,40.94,20.94,391.98,43.75,22.83,37.19,2.7,102,81.0,88.0,60.0
1767242114,2026-01-01 10:05:14,24.71,37.42,9.71,226.7,29.3,23.29,37.56,5.78,105,105.0,102.0,88.0
1767245714,2026-01-01 11:05:14,22.89,34.05,6.84,225.71,39.18,24.01,29.37,6.91,91,126.0,105.0,102.0
1767249314,2026-01-01 12:05:14,24.85,36.27,6.97,194.13,48.45,26.37,27.54,6.69,98,154.0,91.0,105.0
1767252914,2026-01-01 13:05:14,22.27,31.86,11.51,242.3,43.34,25.7,21.5,7.8,89,159.0,98.0,91.0
1767256514,2026-01-01 14:05:14,21.01,30.6,9.78,200.75,42.36,24.35,35.57,6.52,89,142.0,89.0,98.0
1767260114,2026-01-01 15:05:14,19.16,31.74,12.82,157.61,40.76,22.75,29.11,2.72,81,138.0,89.0,89.0
1767263714,2026-01-01 16:05:14,25.56,37.86,8.78,191.45,30.97,21.21,39.98,2.8,105,140.0,81.0,89.0
1767267314,2026-01-01 17:05:14,30.97,44.0,18.15,357.15,28.34,17.96,38.37,6.56,126,139.0,105.0,81.0
1767270914,2026-01-01 18:05:14,36.35,50.92,19.94,383.23,25.24,15.08,41.83,3.46,154,127.0,126.0,105.0
1767274514,2026-01-01 19:05:14,38.62,59.45,20.61,383.89,26.77,12.04,55.94,7.52,159,136.0,154.0,126.0
1767278114,2026-01-01 20:05:14,34.47,52.34,8.54,189.65,17.95,9.86,47.77,3.45,142,105.0,159.0,154.0
1767281714,2026-01-01 21:05:14,33.31,51.14,9.82,255.33,12.93,7.58,65.49,5.82,138,114.0,142.0,159.0
1767285314,2026-01-01 22:05:14,34.6,47.89,7.35,211.57,13.96,5.08,73.05,3.23,140,134.0,138.0,142.0
1767288914,2026-01-01 23:05:14,32.81,53.04,7.88,177.54,10.64,7.38,66.65,3.03,139,137.0,140.0,138.0
1767292514,2026-01-02 00:05:14,31.25,41.89,13.55,186.07,14.09,4.74,71.46,5.12,127,129.0,139.0,140.0
1767296114,2026-01-02 01:05:14,31.86,47.96,9.64,165.17,10.0,4.78,63.38,5.48,136,130.0,127.0,139.0
1767299714,2026-01-02 02:05:14,25.58,37.32,9.67,201.4,11.79,6.18,74.11,8.73,105,159.0,136.0,127.0
1767303314,2026-01-02 03:05:14,28.41,44.34,9.8,201.08,14.88,7.7,51.8,3.89,114,163.0,105.0,136.0
1767306914,2026-01-02 04:05:14,32.81,51.55,11.97,165.4,21.17,11.09,54.19,4.2,134,162.0,114.0,105.0
1767310514,2026-01-02 05:05:14,32.06,49.66,10.97,181.38,25.26,13.38,52.48,7.08,137,148.0,134.0,114.0
1767314114,2026-01-02 06:05:14,31.32,44.1,7.66,209.54,30.02,14.03,44.93,2.58,129,115.0,137.0,134.0
1767317714,2026-01-02 07:05:14,31.06,49.98,9.09,214.51,30.74,17.82,51.22,5.52,130,119.0,129.0,137.0
1767321314,2026-01-02 08:05:14,35.39,52.6,18.33,349.77,34.72,18.97,48.58,1.8,159,106.0,130.0,129.0
1767324914,2026-01-02 09:05:14,39.77,66.95,20.53,391.51,34.02,18.97,38.39,4.84,163,77.0,159.0,130.0
1767328514,2026-01-02 10:05:14,37.07,51.39,11.15,214.33,38.94,23.03,37.68,5.26,162,83.0,163.0,159.0
1767332114,2026-01-02 11:05:14,35.13,52.77,9.51,215.47,47.7,25.26,36.27,1.46,148,117.0,162.0,163.0
1767335714,2026-01-02 12:05:14,28.83,46.94,12.59,234.65,43.41,24.72,38.43,5.62,115,136.0,148.0,162.0
1767339314,2026-01-02 13:05:14,28.53,45.49,11.45,208.54,39.43,24.03,31.46,4.73,119,157.0,115.0,148.0
1767342914,2026-01-02 14:05:14,24.79,35.95,11.09,194.53,35.13,23.3,41.2,2.94,106,147.0,119.0,115.0
1767346514,2026-01-02 15:05:14,17.19,27.61,9.93,210.67,38.55,19.6,29.25,8.91,77,147.0,106.0,119.0
1767350114,2026-01-02 16:05:14,18.56,25.85,7.61,192.91,44.15,18.67,42.36,2.53,83,144.0,77.0,106.0
1767353714,2026-01-02 17:05:14,28.24,41.58,18.84,379.48,32.85,18.58,44.78,2.49,117,128.0,83.0,77.0
1767357314,2026-01-02 18:05:14,32.22,48.78,18.99,432.57,37.26,16.53,50.3,4.13,136,124.0,117.0,83.0
1767360914,2026-01-02 19:05:14,35.36,56.09,17.4,374.39,23.33,12.32,56.9,7.04,157,137.0,136.0,117.0
1767364514,2026-01-02 20:05:14,36.43,55.61,9.09,174.04,19.31,11.36,57.15,3.84,147,133.0,157.0,136.0
1767368114,2026-01-02 21:05:14,33.8,50.55,13.1,185.9,14.73,7.92,66.51,7.65,147,132.0,147.0,157.0
1767371714,2026-01-02 22:05:14,35.23,52.78,9.59,167.72,12.17,5.83,61.53,4.93,144,98.0,147.0,147.0
1767375314,2026-01-02 23:05:14,32.22,46.88,10.48,178.54,14.34,3.67,72.65,5.4,128,107.0,144.0,147.0
1767378914,2026-01-03 00:05:14,31.93,46.0,11.16,179.68,13.08,5.31,61.52,4.58,124,116.0,128.0,144.0
1767382514,2026-01-03 01:05:14,31.15,44.37,9.42,207.26,11.98,4.73,72.57,4.46,137,126.0,124.0,128.0
1767386114,2026-01-03 02:05:14,31.27,45.9,12.88,177.79,15.09,6.5,61.1,3.96,133,137.0,137.0,124.0
1767389714,2026-01-03 03:05:14,30.42,50.28,10.0,200.32,26.23,8.57,60.64,3.84,132,144.0,133.0,137.0
1767393314,2026-01-03 04:05:14,23.64,31.7,12.03,208.72,17.87,9.32,61.28,7.45,98,144.0,132.0,133.0
1767396914,2026-01-03 05:05:14,24.4,33.51,11.91,194.8,16.14,12.13,58.33,4.69,107,153.0,98.0,132.0
1767400514,2026-01-03 06:05:14,27.26,46.94,8.82,161.75,25.69,14.47,48.27,2.99,116,135.0,107.0,98.0
1767404114,2026-01-03 07:05:14,27.18,38.12,9.32,148.56,33.09,17.21,45.02,3.17,126,135.0,116.0,107.0
1767407714,2026-01-03 08:05:14,33.2,50.67,19.7,414.64,36.83,20.89,41.81,3.13,137,117.0,126.0,116.0
1767411314,2026-01-03 09:05:14,34.09,47.99,21.15,410.48,38.91,21.88,47.31,7.35,144,123.0,137.0,126.0
1767414914,2026-01-03 10:05:14,33.47,51.95,10.48,221.94,36.13,23.94,32.7,3.12,144,104.0,144.0,137.0
1767418514,2026-01-03 11:05:14,36.34,54.22,8.68,167.75,40.5,24.22,35.44,3.79,153,122.0,144.0,144.0
1767422114,2026-01-03 12:05:14,32.83,47.15,9.35,217.24,41.25,24.46,30.6,9.44,135,116.0,153.0,144.0
1767425714,2026-01-03 13:05:14,31.54,47.48,9.55,181.55,39.18,25.69,19.01,7.63,135,160.0,135.0,153.0
1767429314,2026-01-03 14:05:14,30.06,50.48,11.47,162.42,37.74,23.18,32.27,2.97,117,157.0,135.0,135.0
1767432914,2026-01-03 15:05:14,29.85,42.51,11.09,161.1,36.19,20.72,38.24,5.25,123,166.0,117.0,135.0
1767436514,2026-01-03 16:05:14,24.94,38.28,9.4,195.68,35.99,19.89,30.42,3.39,104,157.0,123.0,117.0
1767440114,2026-01-03 17:05:14,28.29,42.54,15.75,384.07,29.65,18.34,40.52,8.79,122,159.0,104.0,123.0
1767443714,2026-01-03 18:05:14,30.69,47.43,20.85,411.89,26.55,14.24,59.18,5.99,116,141.0,122.0,104.0
1767447314,2026-01-03 19:05:14,36.79,53.64,16.17,444.8,26.68,13.58,56.95,6.77,160,158.0,116.0,122.0
1767450914,2026-01-03 20:05:14,37.43,59.92,8.49,222.15,20.15,9.48,58.61,6.05,157,149.0,160.0,116.0
1767454514,2026-01-03 21:05:14,38.59,60.23,10.28,184.36,10.0,6.02,76.49,7.57,166,157.0,157.0,160.0
1767458114,2026-01-03 22:05:14,36.56,53.68,11.75,178.47,17.46,6.14,68.51,8.2,157,176.0,166.0,157.0
1767461714,2026-01-03 23:05:14,36.98,60.34,9.25,211.39,14.7,5.28,77.46,4.28,159,174.0,157.0,166.0
1767465314,2026-01-04 00:05:14,33.83,50.16,14.58,209.91,22.64,7.45,61.6,5.23,141,157.0,159.0,157.0
1767468914,2026-01-04 01:05:14,37.83,58.0,12.17,192.14,23.71,5.85,62.39,1.71,158,129.0,141.0,159.0
1767472514,2026-01-04 02:05:14,35.04,54.44,10.76,201.04,10.0,5.19,75.59,5.61,149,135.0,158.0,141.0
1767476114,2026-01-04 03:05:14,38.76,62.11,11.36,201.84,25.03,7.79,66.07,1.94,157,161.0,149.0,158.0
1767479714,2026-01-04 04:05:14,42.14,64.44,9.05,182.54,17.45,10.41,64.64,1.83,176,139.0,157.0,149.0
1767483314,2026-01-04 05:05:14,42.84,68.28,8.15,174.28,16.38,11.75,59.28,4.15,174,136.0,176.0,157.0
1767486914,2026-01-04 06:05:14,37.68,54.13,11.23,191.91,27.75,15.62,55.44,6.2,157,129.0,174.0,176.0
1767490514,2026-01-04 07:05:14,30.62,51.92,10.45,144.91,33.52,18.53,44.43,8.25,129,110.0,157.0,174.0
1767494114,2026-01-04 08:05:14,34.74,53.84,19.35,402.82,33.49,19.36,37.51,6.54,135,111.0,129.0,157.0
1767497714,2026-01-04 09:05:14,36.02,50.49,19.61,371.86,41.78,21.76,35.39,6.35,161,118.0,135.0,129.0
1767501314,2026-01-04 10:05:14,33.0,50.1,10.16,218.76,36.65,22.78,35.5,3.73,139,119.0,161.0,135.0
1767504914,2026-01-04 11:05:14,32.62,49.58,9.42,216.79,42.28,23.96,41.18,6.61,136,134.0,139.0,161.0
1767508514,2026-01-04 12:05:14,31.86,44.73,8.69,199.0,44.51,23.85,31.39,5.4,129,162.0,136.0,139.0
1767512114,2026-01-04 13:05:14,27.31,39.54,9.89,186.85,46.89,24.36,27.96,8.6,110,174.0,129.0,136.0
1767515714,2026-01-04 14:05:14,27.26,37.51,15.0,178.93,39.24,23.07,35.37,4.45,111,170.0,110.0,129.0
1767519314,2026-01-04 15:05:14,29.6,44.87,12.04,195.41,30.31,22.41,22.48,1.77,118,174.0,111.0,110.0
1767522914,2026-01-04 16:05:14,25.92,36.2,11.96,182.91,36.9,18.77,33.11,6.98,119,149.0,118.0,111.0
1767526514,2026-01-04 17:05:14,32.21,52.32,18.46,404.97,34.85,19.1,44.71,5.01,134,162.0,119.0,118.0
1767530114,2026-01-04 18:05:14,38.03,58.65,19.94,407.8,28.93,15.69,43.5,4.08,162,150.0,134.0,119.0
1767533714,2026-01-04 19:05:14,42.2,59.05,21.29,389.55,16.78,12.76,56.97,1.45,174,130.0,162.0,134.0
1767537314,2026-01-04 20:05:14,40.64,68.92,11.72,229.33,30.05,9.73,64.68,4.61,170,118.0,174.0,162.0
1767540914,2026-01-04 21:05:14,40.42,56.85,10.03,216.68,20.45,7.76,66.8,3.3,174,120.0,170.0,174.0
1767544514,2026-01-04 22:05:14,37.3,51.59,10.41,218.34,15.57,7.67,62.31,8.64,149,130.0,174.0,170.0
1767548114,2026-01-04 23:05:14,36.14,57.71,10.81,188.57,16.65,5.0,65.59,3.22,162,131.0,149.0,174.0
